Name,Role,Matches,Win Rate,Pick Rate,Ban Rate
Aatrox,Top,"319,781",50.89%,16.6%,19.9%
Ahri,Mid,"91,491",48.23%,4.7%,1.4%
Akali,Mid,"199,041",49.59%,10.3%,34.6%
Akshan,Mid,"56,120",52.23%,2.9%,5.2%
Alistar,Support,"97,530",49.83%,5.1%,2.3%
Amumu,Jungle,"27,843",47.46%,1.4%,0.5%
Anivia,Mid,"43,928",52.64%,2.3%,1.8%
Annie,Mid,"29,487",51.57%,1.7%,0.4%
Aphelios,ADC,"113,983",48.38%,5.9%,0.7%
Ashe,ADC,"133,971",50.46%,7.0%,5.1%
Aurelion Sol,Mid,"27,626",49.74%,1.4%,0.5%
Azir,Mid,"84,248",51.31%,4.4%,0.8%
Bard,Support,"150,408",52.92%,7.8%,1.9%
Bel'Veth,Jungle,"95,527",50.9%,5.0%,13.0%
Blitzcrank,Support,"180,385",52.49%,9.4%,32.0%
Brand,Jungle,"115,159",51.07%,6.0%,8.1%
Braum,Support,"61,121",51.85%,3.2%,0.6%
Briar,Jungle,"85,473",50.53%,5.0%,16.2%
Caitlyn,ADC,"276,359",49.64%,16.0%,11.1%
Camille,Top,"56,070",49.57%,2.9%,1.7%
Cassiopeia,Mid,"30,890",52.16%,1.6%,1.4%
Cho'Gath,Top,"28,637",49.51%,1.7%,0.4%
Corki,Mid,"32,440",47.9%,1.7%,0.1%
Darius,Top,"112,862",49.12%,5.9%,11.5%
Diana,Jungle,"74,124",47.98%,4.3%,2.4%
Dr. Mundo,Top,"39,047",49.71%,2.0%,0.8%
Draven,ADC,"129,958",50.96%,7.5%,22.8%
Ekko,Jungle,"119,294",50.03%,6.2%,4.1%
Elise,Jungle,"46,030",49.92%,2.4%,1.5%
Evelynn,Jungle,"106,324",50.83%,5.5%,18.8%
Ezreal,ADC,"267,305",47.72%,13.9%,6.1%
Fiddlesticks,Jungle,"54,382",49.85%,2.8%,3.5%
Fiora,Top,"103,314",51.63%,6.0%,12.3%
Fizz,Mid,"176,461",51.87%,9.2%,30.0%
Galio,Mid,"66,500",50.79%,3.9%,1.1%
Gangplank,Top,"59,865",49.15%,3.1%,2.0%
Garen,Top,"64,875",46.92%,3.4%,1.8%
Gnar,Top,"50,951",49.69%,2.6%,0.4%
Gragas,Jungle,"59,293",47.54%,3.1%,1.7%
Graves,Jungle,"251,523",50.62%,13.1%,14.6%
Gwen,Top,"81,329",50.06%,4.2%,4.2%
Hecarim,Jungle,"96,351",49.19%,5.0%,5.0%
Heimerdinger,Support,"13,465",48.08%,0.7%,0.5%
Hwei,Mid,"122,446",45.41%,6.4%,17.0%
Illaoi,Top,"36,924",46.59%,1.9%,4.3%
Irelia,Top,"84,423",49.7%,4.4%,9.2%
Ivern,Jungle,"33,069",53.22%,1.9%,1.3%
Janna,Support,"155,073",52.39%,8.0%,3.0%
Jarvan IV,Jungle,"75,261",48.01%,3.9%,2.0%
Jax,Top,"212,863",50.65%,11.0%,28.8%
Jayce,Top,"76,071",48.04%,4.4%,3.2%
Jhin,ADC,"329,528",50.72%,19.1%,2.4%
