name,role,matches,win_rate,pick_rate,ban_rate
Aatrox,Top,319781,0.5089,0.166,0.19899999999999998
Ahri,Mid,91491,0.48229999999999995,0.047,0.013999999999999999
Akali,Mid,199041,0.4959,0.10300000000000001,0.34600000000000003
Akshan,Mid,50489,0.5218,0.028999999999999998,0.053
Alistar,Support,88097,0.4985,0.051,0.023
Amumu,Jungle,27843,0.4746,0.013999999999999999,0.005
Anivia,Mid,43928,0.5264,0.023,0.018000000000000002
Annie,Mid,33134,0.5168,0.017,0.004
Aphelios,ADC,113983,0.4838,0.059000000000000004,0.006999999999999999
Ashe,ADC,133971,0.5046,0.07,0.051
Aurelion Sol,Mid,27626,0.4974,0.013999999999999999,0.005
Azir,Mid,84248,0.5131,0.044000000000000004,0.008
Bard,Support,150408,0.5292,0.078,0.019
Bel'Veth,Jungle,95527,0.509,0.05,0.13
Blitzcrank,Support,180385,0.5249,0.094,0.32
Brand,Jungle,115159,0.5107,0.06,0.081
Braum,Support,54872,0.5194,0.032,0.006
Briar,Jungle,95654,0.5055,0.05,0.161
Caitlyn,ADC,276359,0.4964,0.16,0.111
Camille,Top,56070,0.49570000000000003,0.028999999999999998,0.017
Cassiopeia,Mid,30890,0.5216,0.016,0.013999999999999999
Cho'Gath,Top,32118,0.49560000000000004,0.017,0.004
Corki,Mid,32440,0.479,0.017,0.001
Darius,Top,112862,0.49119999999999997,0.059000000000000004,0.115
Diana,Jungle,81924,0.4803,0.043,0.024
Dr. Mundo,Top,39047,0.4971,0.02,0.008
Draven,ADC,144899,0.5085000000000001,0.075,0.22699999999999998
Ekko,Jungle,119294,0.5003,0.062,0.040999999999999995
Elise,Jungle,46030,0.49920000000000003,0.024,0.015
Evelynn,Jungle,106324,0.5083,0.055,0.188
Ezreal,ADC,267305,0.4772,0.139,0.061
Fiddlesticks,Jungle,54382,0.4985,0.027999999999999997,0.035
Fiora,Top,116085,0.5172,0.06,0.12300000000000001
Fizz,Mid,176461,0.5186999999999999,0.092,0.3
Galio,Mid,74487,0.5085000000000001,0.039,0.011000000000000001
Gangplank,Top,59865,0.4915,0.031,0.02
Garen,Top,64875,0.4692,0.034,0.018000000000000002
Gnar,Top,50951,0.49689999999999995,0.026000000000000002,0.004
Gragas,Jungle,59293,0.4754,0.031,0.017
Graves,Jungle,251523,0.5062,0.131,0.146
Gwen,Top,81329,0.5006,0.042,0.042
Hecarim,Jungle,96351,0.4919,0.05,0.05
Heimerdinger,Support,13465,0.4808,0.006999999999999999,0.005
Hwei,Mid,122446,0.45409999999999995,0.064,0.17
Illaoi,Top,36924,0.46590000000000004,0.019,0.043
Irelia,Top,84423,0.49700000000000005,0.044000000000000004,0.092
Ivern,Jungle,37291,0.5318999999999999,0.019,0.012
Janna,Support,155073,0.5239,0.08,0.03
Jarvan IV,Jungle,75261,0.48009999999999997,0.039,0.02
Jax,Top,212863,0.5065,0.11,0.28800000000000003
Jayce,Top,84542,0.48009999999999997,0.044000000000000004,0.031
Jhin,ADC,371574,0.5065,0.193,0.024
Jinx,ADC,159353,0.5083,0.083,0.006
K'Sante,Top,121001,0.4836,0.063,0.049
Kai'Sa,ADC,268430,0.4682,0.139,0.025
Kalista,ADC,74461,0.4916,0.039,0.023
Karma,Support,100074,0.46659999999999996,0.052000000000000005,0.012
Karthus,Jungle,47302,0.45770000000000005,0.025,0.044000000000000004
Kassadin,Mid,78730,0.515,0.040999999999999995,0.065
Katarina,Mid,175057,0.508,0.091,0.125
Kayle,Top,69436,0.5186999999999999,0.036000000000000004,0.015
Kayn,Jungle,145254,0.494,0.075,0.077
Kennen,Top,47060,0.5017,0.024,0.018000000000000002
Kha'Zix,Jungle,183399,0.5025999999999999,0.095,0.087
Kindred,Jungle,60078,0.5097999999999999,0.031,0.022000000000000002
Kled,Top,47129,0.5234000000000001,0.024,0.008
